"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify the added item quantity via cart preview","1565","testAddedItemQuantityViaCartPreview","CrossBrowserSuite","Sun May 18 00:33:01 GMT 2025","passed","Sun May 18 00:33:03 GMT 2025","com.opencart.test.CartTest","EdgeTest","com.opencart.test.CartTest","testAddedItemQuantityViaCartPreview"
"TC_02 Verify the Store navigation menu options via dropdown","2006","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1519","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:18 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","2019","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:32:00 GMT 2025","passed","Sun May 18 00:32:02 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
"TC_04 Verify the 'Components' category dropdown options navigation","2248","testComponentsDropdownNavigation","CrossBrowserSuite","Sun May 18 00:32:43 GMT 2025","passed","Sun May 18 00:32:45 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testComponentsDropdownNavigation"
"Verify the added item quantity via cart","1438","testAddedItemQuantityViaCart","CrossBrowserSuite","Sun May 18 00:31:31 GMT 2025","passed","Sun May 18 00:31:32 GMT 2025","com.opencart.test.CartTest","ChromeTest","com.opencart.test.CartTest","testAddedItemQuantityViaCart"
"Verify the login page has the supposed sidebar menu options","897","testSidebarMenuOptions","CrossBrowserSuite","Sun May 18 00:32:20 GMT 2025","passed","Sun May 18 00:32:21 GMT 2025","com.opencart.test.LoginTest","FirefoxTest","com.opencart.test.LoginTest","testSidebarMenuOptions"
"TC_02 Verify the Store navigation menu options via dropdown","1901","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:32:44 GMT 2025","passed","Sun May 18 00:32:46 GMT 2025","com.opencart.test.NavigationTest","EdgeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"Verify the search result page heading","816","testSearchResultInPageHeading","CrossBrowserSuite","Sun May 18 00:32:50 GMT 2025","passed","Sun May 18 00:32:51 GMT 2025","com.opencart.test.SearchTest","EdgeTest","com.opencart.test.SearchTest","testSearchResultInPageHeading"
"Verify the added item name via cart preview","1977","testAddedItemNameViaCartPreview","CrossBrowserSuite","Sun May 18 00:32:22 GMT 2025","passed","Sun May 18 00:32:24 GMT 2025","com.opencart.test.CartTest","FirefoxTest","com.opencart.test.CartTest","testAddedItemNameViaCartPreview"
"TC_02 Verify the Store navigation menu options via dropdown","2409","testNavigationBarMenuWithDropdown","CrossBrowserSuite","Sun May 18 00:31:57 GMT 2025","passed","Sun May 18 00:31:59 GMT 2025","com.opencart.test.NavigationTest","FirefoxTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithDropdown"
"TC_03 Verify the Store navigation menu options without dropdown","1035","testNavigationBarMenuWithoutDropdown","CrossBrowserSuite","Sun May 18 00:31:16 GMT 2025","passed","Sun May 18 00:31:17 GMT 2025","com.opencart.test.NavigationTest","ChromeTest","com.opencart.test.NavigationTest","testNavigationBarMenuWithoutDropdown"
